Adres;PC;Huisnummer;Toevoeging;Wijk;Aannemer;Contactpersoon;Datum_aanvraag;Soort;nb_hoogte
Spijkerstraat;2416 TR;59;;Watervogelbuurt;Eshuis & Zn Aannemersbedrijf Fa J;A. Hoekstra;19/08/2018;Schuur;28,8
Stationsplein;2427 CG;74;C;Lunetten-Noord;Bouwmaatschappij Kroon B.V.;K. van den Velden;21/10/2018;Nieuwbouw;6,4
Elimos. V. Oud Munst.;1897 XA;77;A;Buurtnaam;Rolvink Bouw B.V.;D. de Boer;07/08/2017;Verwijderen stal;22,4
Antoniestraat;8831 CB;87;;Geuzenwijk;Akerbouw Aannemersbedrijf B.V.;N. de Bruyn;24/07/2019;Nieuwbouw;28,8
Rijndijk;2621 DB;113;;Ondiep;Gils Bouwservice en Onderhoud B.V.;W. Willems;04/12/2015;Aanbouw;25,6
Imhoffstraat (van);2720 EX;128;;Terwijde;Eventus Bouw Aannemersbedrijf;R. van der Velde;14/01/2015;Verwijderen stal;32
Goedestraat;8626 GS;113;;Dichterswijk;Bouwbedrijf Geers B.V.;F. de Bruyn;18/05/2018;Aanbouw;9,6
Haverstraat;5871 EK;144;;Zuilen-Noord;Derksen Stukadoors;T. Willemsen;03/06/2019;Verwijderen stal;38,4
Domtrans;5404 LK;76;C;Tuindorp-Oost;Hoek Bouw - 0800AANBOUW.nl;G. Verhoeven;15/10/2015;Verwijderen stal;25,6
Agnietenstraat;9673 TX;110;;Lunetten-Zuid;Bouwbedrijf Boot B.V.;B. Vermeulen;28/01/2015;Boomkap;35,2
Bekkerstraat;8689 BZ;27;;Schildersbuurt;Hofstra Hulshof Bouw B.V.;Q. Willemsen;14/04/2019;Schuur;32
Groeneweg;4553 DJ;62;D;Tuinwijk-West;Bouwbedrijf A J van Hilst B.V.;N. Molenaar;19/08/2018;Nieuwbouw;12,8
Jacobskerksteeg;8751 GW;146;D;Bloemenbuurt;vd Meer Bouwbedrijf P J;V. Schipper;07/01/2020;Schuur;22,4
Otterstraat;9384 EB;116;;Lombok-West;Vromans Kozijnen B.V.;W. Smit;19/08/2018;Verwijderen stal;12,8
Kovelaarsdijk;7506 NV;136;A;Lunetten-Noord;Jan Oosterhout Aannemersbedrijf B.V.;T. Bosman;06/12/2015;Gevelrenovatie;22,4
Kievitstraat;9063 LY;109;;Zuilen-Noord;Marku Bouw B.V.;E. van de Velden;10/01/2017;Boomkap;22,4
Asterstraat;1363 KL;37;D;Lombok-West;Halman Bouwbedrijf;R. van de Ven;04/03/2018;Gevelrenovatie;6,4
Kleine Tuinstraat;1596 WB;76;;Tweede Daalsebuurt en omgeving;Bruil Bouwbedrijf Ede B.V.;U. van Loon;15/03/2017;Aanbouw;25,6
Vinkenbuurt;1294 IB;130;;Oud Hoograven;Bouwbedrijf Hissel;M. de Graaf;13/10/2019;Stal;38,4
Duifstraat;7283 ML;4;;Bloemenbuurt;Akerbouw Aannemersbedrijf B.V.;X. de Graaf;10/08/2018;Aanbouw;16
Veldstraat;9226 LK;53;;Langerak;van Leur Groep Utrecht;A. de Groot;22/02/2015;Stal;16
Mariastraat;3815 DQ;57;;Lombok-West;Florijn & Zn Fa A;M. Bos;30/11/2018;Dakkapel;25,6
Brugsteeg;3458 TX;90;;Bedrijventerrein Lageweide;Dura Vermeer Bouw Ede B.V.;U. Timmermans;24/05/2015;Verwijderen stal;9,6
Grutterspoort;6250 PI;3;;Bedrijvengebied Overvecht;Aanpak Bouwservice;O. van den Berg;19/04/2016;Dakkapel;9,6
Lucas Bolwerk;6192 YD;89;;Dichterswijk;Reimerswaal Aannemingsbedrijf;G. van Beek;05/04/2018;Verwijderen stal;16
Merwedekade;3674 LB;25;D;Tweede Daalsebuurt en omgeving;Bergwerf Bouw- en Aannemingsbedrijf;F. van der Laan;22/12/2018;Schuur;12,8
Begijnehof;2962 BN;107;;Sterrenwijk;De Wit-Besseling B.V.;P. Hermans;07/06/2015;Verwijderen stal;19,2
Kroonstraat;4842 SN;51;;Dichterswijk;KEMO Vochtwering;V. Bakker;09/06/2020;Boomkap;12,8
Kruisweg;5335 UI;44;;Schildersbuurt;Voeg en Renovatiebedrijf MG;K. van Dijk;31/03/2016;Boomkap;6,4
Schaapstraat;8619 CM;34;;Dichterswijk;Hemmen Bouw C.V.;B. van der Heijden;04/04/2019;Boomkap;38,4
Jansteeg;1651 GE;92;;Tuinwijk-Oost;van Dijk Aannemersbedrijf;X. van Dam;28/03/2018;Gevelrenovatie;38,4
Korte Viestraat;5570 OK;2;D;Tuinwijk-Oost;Lankveld Bouwbedrijf;G. Hermans;07/12/2017;Aanbouw;12,8
Schoolstraat;2361 JJ;116;B;Geuzenwijk;Aannemersbedrijf J.W van Tunen;J. van de Ven;28/02/2018;Aanbouw;35,2
Kleine Singel;6818 VN;49;A;Kanaleneiland-Zuid;Rietdekkersbedrijf Van Ginkel;X. van den Brink;17/10/2018;Gevelrenovatie;6,4
Korte Nieuwstraat;4012 JR;83;;Kanaleneiland-Noord;Aannemingsbedrijf J vd Windt B.V.;W. Sanders;23/06/2016;Verwijderen stal;19,2
Grutterspoort;3002 GQ;81;;Lombok-West;Obdeijn B.V.;T. Smits;04/08/2015;Schuur;22,4
Zakkendragersteeg;3966 HJ;57;;Pijlsweerd-Zuid;Geveke Bouw B.V.;H. van Dam;17/01/2016;Aanbouw;32
Lange Jansstraat;2009 MF;34;;Transwijk-Zuid;A-HA;A. Sanders;12/02/2016;Gevelrenovatie;12,8
Vlasstraat;9205 WJ;22;B;Hogeweide;Aannemersbedrijf R Boekhoorn B.V.;X. Dijkstra;06/10/2019;Aanbouw;16
Zilversteeg;4654 FH;67;B;Nieuw Hoograven;Aannemingsbedrijf Blokland;Z. van der Velde;20/02/2017;Aanbouw;12,8
Jachtstraat;9764 DJ;79;A;Bedrijventerrein Lageweide;Bouwbedrijf Wijlens B.V.;C. van der Velden;29/07/2018;Stal;6,4
Kalverstraat;3110 CZ;147;;Transwijk-Noord;Bouwbedrijf Verbruggen Zijtaart B.V.;Q. Vink;26/07/2017;Stal;25,6
Vlasstraat;8499 VJ;78;;Lombok-West;DSL Support Aannemingsbedrijf BV;G. van der Ven;09/11/2017;Schuur;38,4
